level	age
3	-2147483648
5	24
-2147483649	2247483648
1	2147483647
2147483646	22
-2147483647	- 2147483647
-2147483648	2147483646
-2147483649	- 2147483647
0	23
4	64
-2147483648	69
2147483646	-2147483648
-2247483648	2147483648
5	-2147483648
2147483647	- 2147483647
2247483648	23
2	64
2147483647	64
-2147483648	2147483647
3	- 2147483647
3	22
-2147483649	23
-2247483648	2247483648
3	2147483647
0	69
2247483648	2147483648
2147483647	-2147483649
-2147483649	30
0	30
2247483648	0
2147483647	30
5	2147483646
-2247483648	0
-1	2147483648
3	65
-2247483648	66
2147483646	0
2247483648	30
2147483646	24
-2147483647	-2247483648
-2147483648	24
-2147483648	-2147483648
4	65
0	24
5	2147483648
0	-2247483648
0	64
2147483646	66
0	2147483646
2	30
4	- 2147483647
-2147483649	-2147483648
0	65
5	30
4	23
-2147483648	22
1	2247483648
-2147483649	22
-2147483648	30
2147483648	22
-2247483648	64
2147483648	30
-2147483649	66
2	2147483648
-2147483649	24
2147483646	- 2147483647
-2147483649	0
2	-2147483648
-2147483648	2247483648
2147483648	-2147483648
-1	- 2147483647
4	0
-2247483648	2147483646
-2147483648	0
-1	23
4	66
2147483648	23
1	0
2	-2147483649
-2247483648	23
4	22
3	-2147483649
5	23
-2147483649	2147483647
-2147483648	64
2147483646	2147483646
-2147483647	2147483646
-2247483648	22
-1	-2147483649
1	22
-2247483648	65
-2147483649	65
2247483648	22
-2147483648	65
2247483648	24
-1	22
2247483648	69
0	2147483648
3	2147483646
2147483648	- 2147483647
2147483647	69
-1	65
5	- 2147483647
-2147483648	66
2147483648	64
0	66
1	- 2147483647
-1	24
1	66
2147483648	2247483648
5	2247483648
-1	0
2147483648	69
-2147483649	64
3	30
3	69
-2147483647	64
-2247483648	-2147483648
-2247483648	- 2147483647
-2147483647	69
5	0
2147483647	2147483647
0	-2147483649
1	64
1	24
2247483648	-2147483649
2	2147483647
3	-2247483648
2147483647	66
1	65
2147483646	23
2147483648	-2147483649
-2247483648	-2247483648
2	-2247483648
2147483648	-2247483648
2147483647	-2247483648
2147483646	-2147483649
0	0
4	-2147483649
-2147483648	2147483648
2247483648	- 2147483647
2247483648	2247483648
-1	2147483647
2	2147483646
3	0
2147483646	2147483647
1	69
1	30
2147483648	66
2147483647	22
3	24
-1	64
2147483647	-2147483648
2147483648	2147483646
-1	2247483648
-2147483647	65
-2247483648	2147483647
-2147483647	23
2	69
2147483647	65
2	- 2147483647
2147483648	0
-2247483648	30
5	65
0	-2147483648
2147483647	24
-2147483648	-2147483649
-2147483647	2147483647
3	2247483648
-1	-2147483648
-2247483648	69
2147483647	0
4	69
2147483647	23
2147483646	65
2147483647	2247483648
4	30
-2147483647	66
4	2147483648
-1	69
4	-2247483648
2147483646	30
-2147483647	-2147483649
2247483648	64
2147483646	-2247483648
-2147483649	-2147483649
0	2147483647
3	66
2147483647	2147483646
2147483648	2147483648
2	0
-1	2147483646
4	-2147483648
3	23
0	22
-2247483648	-2147483649
4	24
-2147483648	-2247483648
-2147483647	0
2	65
2247483648	66
5	-2147483649
5	66
-2147483649	2147483646
0	2247483648
-2147483649	-2247483648
-2147483647	30
-2147483647	-2147483648
2	2247483648
2	24
4	2247483648
1	-2247483648
-2147483647	22
0	- 2147483647
2247483648	-2247483648
2147483648	65
2	23
2247483648	2147483646
2147483647	2147483648
5	64
1	-2147483649
5	22
5	69
-1	30
4	2147483647
2	66
1	-2147483648
2247483648	2147483647
2147483646	69
2147483648	24
2247483648	-2147483648
-2147483647	2147483648
3	2147483648
2	22
-2147483647	2247483648
-2147483648	- 2147483647
5	2147483647
1	2147483646
-1	66
4	2147483646
5	-2247483648
2147483646	2247483648
-2147483649	2147483648
1	2147483648
2147483646	2147483648
-2147483647	24
-2147483649	69
1	23
2247483648	65
2147483648	2147483647
3	64
-2247483648	24
-1	-2247483648
2147483646	64
-2147483648	23
